app_exec_id,script_run_id,app__name,execution_site,start_time,duration,staging_in_duration,staging_out_duration,work_directory,file_id,host,name,size,modify,type
,,,,,,,,,quaternion.local:frag007.phr:126335:1425321312.0,quaternion.local,frag007.phr,126335,1425321312,File
,,,,,,,,,quaternion.local:frag007.psq:345846:1425321312.0,quaternion.local,frag007.psq,345846,1425321312,File
,,,,,,,,,quaternion.local:frag006.phr:125704:1425321312.0,quaternion.local,frag006.phr,125704,1425321312,File
,,,,,,,,,quaternion.local:frag006.pin:6104:1425321312.0,quaternion.local,frag006.pin,6104,1425321312,File
,,,,,,,,,quaternion.local:frag006.psq:347025:1425321312.0,quaternion.local,frag006.psq,347025,1425321312,File
,,,,,,,,,quaternion.local:sequencia.seq:1516:1418414837.0,quaternion.local,sequencia.seq,1516,1418414837,File
,,,,,,,,,quaternion.local:frag002.html:9142:1425321313.0,quaternion.local,frag002.html,9142,1425321313,File
,,,,,,,,,quaternion.local:frag001.html:9140:1425321313.0,quaternion.local,frag001.html,9140,1425321313,File
,,,,,,,,,quaternion.local:frag005.html:9144:1425321313.0,quaternion.local,frag005.html,9144,1425321313,File
,,,,,,,,,quaternion.local:frag003.html:9141:1425321313.0,quaternion.local,frag003.html,9141,1425321313,File
,,,,,,,,,quaternion.local:frag004.html:9145:1425321313.0,quaternion.local,frag004.html,9145,1425321313,File
,,,,,,,,,quaternion.local:frag008.html:9142:1425321313.0,quaternion.local,frag008.html,9142,1425321313,File
,,,,,,,,,quaternion.local:frag006.html:9141:1425321313.0,quaternion.local,frag006.html,9141,1425321313,File
,,,,,,,,,quaternion.local:frag007.html:9142:1425321313.0,quaternion.local,frag007.html,9142,1425321313,File
,,,,,,,,,quaternion.local:output.html:9124:1425321313.0,quaternion.local,output.html,9124,1425321313,File
